*ै***ि*्*े*ा*	UNK
*ा*ु*्***	UNK
*े*ी**े**ा*ं	UNK
**ा**ि*	XC.UNK.NN.JJ.NNP
**ो*्*ि*ि**	UNK
*ि*्*े*ा*ि*ां	NN
*ै*्*ा*ि*ो	NN
**ि*ा**ू*्**	NN
*ि******्*्*्*्**ों	UNK
**्*ा*्***	NN
*ा**्*ो*ो*	NN
**्*े****	UNK
*****ै*ि*्**	UNK
*ा**ृ*्*ि	UNK
*्**ं*्**ा**्*ा*्*ि	UNK
**ा****ा*	UNK
**ू*ः	UNK
*्*ू*ै**	JJ
*ॉ*़्*ु**	UNK
**ू*ं	UNK
*ै*******	UNK
**ी*्*ा*ं	NN
*ु*्*ा**	UNK.NN
**ा*्*ी*ृ*	JJ
*्*ि*्***ै*्*	NN
***ा***ा	UNK
***ा***ि	UNK
*ो*ो*ि*	UNK
*ी*ि**ि*ा*ों	UNK
*ृ*****्*्*्*्**ु*े**ा	UNK
*ि*्*ो*्*	XC.UNK
***े**ा*ं	UNK
*़ु*ो*ा	UNK
*ि*ं*्*ि***ि*्*े*ि*	UNK
*ो*ा*ा*्*	NNP
***ि*्*ि*ि*ों	UNK
**ा*ा****्*ों	UNK
**्*ी*ैं*	NN
***्**ा*	XC.UNK.JJ.NN
******्*्*्*्**ों*्*े	UNK
*ें**े*्**	XC
****्*	XC.UNK.NN.JJ.NNP
**ी*्*ा	XC.NN
*्***ि*ा	UNK
*ृ***ि*ि*्**	UNK
*ं*्*ृ*ि	NN
*ाँ**ां*ि	UNK
**्*्**ि*	UNK.JJ
**ो*ि*ृ*ि	NN
*ै**े*ु*	NN
*ं***ों	UNK.NN
**ं*ि*ा*ि*ों	UNK
*ि*े***ी**	UNK
*ाँ****	UNK
*्*****ा*	UNK
*ि*्**ि*ा**	NNP
**्*्*ि*	UNK.NN.JJ
****ा*ू*्**	RB
*ा*ं*ो	NNP
**ि*ा***्*ी*	JJ
*ौ*ी*ं*	UNK
*ु**ै*****्*्*्*्**ु*ी	UNK
